,year,sentence1,sentence2,score
0,2012test,Một người phụ nữ đang gọt khoai tây.,Một người đang cắt khoai tây.,2.4
1,2012test,Một người đang thái khoai tây.,Một người phụ nữ đang gọt khoai tây.,2.2
2,2012test,Một người đàn ông đang đi xe đạp.,Một con khỉ đang đạp xe.,2.0
3,2012test,Một người đang cưỡi ngựa.,Một cô gái đang cưỡi ngựa.,2.6
4,2012test,Hai thằng nhóc đang lái xe.,Hai vịnh đang nhảy múa.,0.6
5,2012test,Một người đàn ông đang bay lên.,Một người đàn ông đang nói chuyện.,0.8
6,2012test,Một người đàn ông đang câu cá.,Một người đàn ông đang tập thể dục.,0.5
7,2012test,Người đàn ông nói chuyện trên điện thoại.,Người đàn ông đang nói chuyện điện thoại.,3.6
8,2012test,Một người đàn ông đang chơi guitar.,Một người đàn ông đang hát và chơi guitar.,3.6
9,2012test,Một người đàn ông đi xe máy.,Một người đàn ông đang đi xe máy.,4.4
10,2012test,Đàn ông đang chơi cricket.,Đàn ông đang chơi bóng rổ.,2.2
11,2012test,Một con chó nhỏ đang đuổi theo quả bóng yoga.,Một con chó đang đuổi theo một trái banh.,4.0
12,2012test,Một người đàn ông và một người phụ nữ đang nói chuyện.,Một người đàn ông và một người đàn bà đang ăn.,1.6
13,2012test,Một người đàn ông bơi dưới nước.,Một người phụ nữ đang bơi dưới nước.,2.0
14,2012test,Một phụ nữ đang thái cà chua.,Một người đang cắt hành tây.,1.6
15,2012test,Một người phụ nữ đang chơi guitar.,Một người đàn ông chơi guitar.,2.4
16,2012test,Một người đàn ông đang gọt khoai tây.,Một người đàn ông gọt vỏ khoai tây.,3.8
17,2012test,Một phụ nữ đang cắt bông cải xanh.,Một người phụ nữ đang xắt bông cải xanh với một con dao.,4.25
18,2012test,Một con chó đang ăn dưa hấu.,Một con chó đang ăn một miếng dưa hấu.,4.25
19,2012test,Một cậu bé đang hát và chơi piano.,Một cậu bé đang chơi piano.,3.0
20,2012test,Một người đàn ông đang cột dây giày.,Một người đàn ông cột dây giày.,5.0
21,2012test,Một con sóc chạy vòng quanh.,Một con sóc đang di chuyển theo vòng tròn.,4.4
22,2012test,Một con khỉ đẩy một con khỉ khác.,Con khỉ đẩy con khỉ kia.,4.8
23,2012test,Một người đang bóc một củ hành tây.,Một người đang bóc vỏ một quả cà tím.,2.0
24,2012test,Một con pankda đang ăn tre.,Một con gấu trúc đang ăn một ít tre.,4.2
25,2012test,Một người phụ nữ đang gọt khoai tây.,Một người phụ nữ đang bóc vỏ một quả táo.,2.0
26,2012test,Một người đàn ông đang chơi đàn piano.,Một người đàn ông đang chơi kèn trumpet.,1.6
27,2012test,Một người đang thái hành.,Một người đang bóc một củ hành tây.,2.6
28,2012test,Một con hổ con đang kêu lên.,Một con hổ đang đi lại xung quanh.,2.0
29,2012test,Một người đang cắt nấm.,Một người đang cắt nấm bằng dao.,4.2
30,2012test,Một người đàn ông đang chơi guitar và hát.,Một người đàn ông đang chơi guitar.,2.917
